eventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,locationID,continent,country,countryCode,county,locality,decimalLatitude,decimalLongitude,geodeticDatum,footprintWKT,footprintSRS,dynamicProperties
19981029_mida,Water Bird Count,,minutes,,1998-10-29,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
19990310_mida,Water Bird Count,,minutes,,1999-03-10,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
19990324_mida,Water Bird Count,,minutes,,1999-03-24,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
19990408_mida,Water Bird Count,,minutes,,1999-04-08,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
19990510_mida,Water Bird Count,,minutes,,1999-05-10,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
20000129_mida,Water Bird Count,,minutes,,2000-01-29,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
20000130_sabaki,Water Bird Count,,minutes,,2000-01-30,,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
20000425_mida,Water Bird Count,,minutes,,2000-04-25,,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
20010121_mida,Water Bird Count,45,minutes,,2001-01-21,15:15,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
20010121_sabaki,Water Bird Count,255.0096000035604,minutes,"Moderate, 25-50%",2001-01-21,07:59,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,"{""coverage"":""Moderate, 25-50%""}"
20040201_sabaki,Water Bird Count,364.9968000014623,minutes,,2004-02-01,08:15,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
20040204_mida,Water Bird Count,180,minutes,,2004-02-04,15:29,Mida Creek,Africa,Kenya,KE,Kilifi,Mida Creek,-3.330189,39.967088,WGS84,"POLYGON ((39.9636 -3.3292, 39.9631 -3.3313, 39.9632 -3.3334, 39.9617 -3.3379, 39.9663 -3.3422, 39.9718 -3.3403, 39.9761 -3.3453, 39.978 -3.3495, 39.9886 -3.3435, 39.9847 -3.3382, 39.9833 -3.334, 39.9832 -3.3328, 39.9837 -3.3319, 39.985 -3.3301, 39.9863 -3.3289, 39.9879 -3.3265, 39.9901 -3.3244, 39.9881 -3.3208, 39.9843 -3.3209, 39.9816 -3.3211, 39.9788 -3.3213, 39.9758 -3.3219, 39.9725 -3.3229, 39.9698 -3.324, 39.9677 -3.3256, 39.9655 -3.3266, 39.9645 -3.3272, 39.9638 -3.3284, 39.9636 -3.3292))",EPSG:4326,
20040417_sabaki,Water Bird Count,214,minutes,,2004-04-17,08:06,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,"{""weather"":""No effect on count""}"
20040512_sabaki,Water Bird Count,300,minutes,,2004-05-12,09:00,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,"{""weather"":""No effect on count""}"
20040610_sabaki,Water Bird Count,150,minutes,,2004-06-10,15:00,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,"{""weather"":""Little effect on count""}"
20040711_sabaki,Water Bird Count,160,minutes,,2004-07-11,15:20,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,"{""weather"":""No effect on count""}"
20040812_sabaki,Water Bird Count,,minutes,,2004-08-12,,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
20040926_sabaki,Water Bird Count,240,minutes,,2004-09-26,07:46,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
20041020_sabaki,Water Bird Count,,minutes,,2004-10-20,,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
20041101_sabaki,Water Bird Count,,minutes,,2004-11-01,,Sabaki,Africa,Kenya,KE,Tana River,Sabaki,-3.16658,40.14167,WGS84,"POLYGON ((40.1295 -3.1563, 40.1303 -3.1576, 40.132 -3.1595, 40.1334 -3.1615, 40.1339 -3.1633, 40.1359 -3.1647, 40.1394 -3.1666, 40.1413 -3.1699, 40.1402 -3.1725, 40.1405 -3.1752, 40.144 -3.1781, 40.1459 -3.1763, 40.1484 -3.171, 40.1525 -3.1611, 40.149 -3.1583, 40.1467 -3.1581, 40.1454 -3.1574, 40.1424 -3.1545, 40.1389 -3.1541, 40.1349 -3.1522, 40.1328 -3.1529, 40.1335 -3.1565, 40.1344 -3.1584, 40.1338 -3.1589, 40.1328 -3.1575, 40.1311 -3.1553, 40.1295 -3.1563))",EPSG:4326,
