"basisOfRecord","eventID","occurrenceID","individualCount","taxonID","scientificName","kingdom","phylum","class","taxonRank","vernacularName","occurrenceRemarks"
"HumanObservation","20000129_mida","20000129_mida_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20010121_mida","20010121_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20060127_mida","20060127_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20080130_mida","20080130_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20090123_mida","20090123_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20140507_mida","20140507_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20140906_mida","20140906_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20141115_mida","20141115_mida_affeag1",4355,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | RN: error? 08:45:00"
"HumanObservation","20150723_mida","20150723_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | 08:22 (2,79 m)"
"HumanObservation","20150917_mida","20150917_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20160120_mida","20160120_mida_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20181017_mida","20181017_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20190314_mida","20190314_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20200220_mida","20200220_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle","Real count | "
"HumanObservation","20200331_mida","20200331_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle","0 (exact) | "
"HumanObservation","20200713_mida","20200713_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle","0 (exact) | "
"HumanObservation","20200912_mida","20200912_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20201011_mida","20201011_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20220126_mida","20220126_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | "
"HumanObservation","20220213_mida","20220213_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","Species","African Fish Eagle"," | Tide not very low, leaving huge mudflats exposed. Some waders didn’t come close . Sand plovers were hards to get exact numbers (c~450)"
"HumanObservation","20120120_mida","20120120_mida_afrope1",1,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20171028_mida","20171028_mida_afrope1",1,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | Lanner disturbed whole roost and most small waders left"
"HumanObservation","20190118_mida","20190118_mida_afrope1",35,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20190625_mida","20190625_mida_afrope1",9,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20200414_mida","20200414_mida_afrope1",94,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork","0 (exact) | "
"HumanObservation","20200912_mida","20200912_mida_afrope1",120,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20201011_mida","20201011_mida_afrope1",39,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20210803_mida","20210803_mida_afrope1",2,"afrope1","Anastomus lamelligerus","Animalia","Chordata","Aves","Species","African Open-Billed Stork"," | "
"HumanObservation","20180411_mida","20180411_mida_afpkin1",1,"afpkin1","Ispidina picta","Animalia","Chordata","Aves","Species","African Pygmy Kingfisher"," | "
"HumanObservation","20171028_mida","20171028_mida_afrski1",1,"afrski1","Rynchops flavirostris","Animalia","Chordata","Aves","Species","African Skimmer"," | Lanner disturbed whole roost and most small waders left"
"HumanObservation","20200913_mida","20200913_mida_afrski1",1,"afrski1","Rynchops flavirostris","Animalia","Chordata","Aves","Species","African Skimmer"," | 2rd attempft after the previous day, skimmer disturbing small waders"
"HumanObservation","19990408_mida","19990408_mida_afrspo1",6,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","19990510_mida","19990510_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20010121_mida","20010121_mida_afrspo1",2,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20080130_mida","20080130_mida_afrspo1",3,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20090731_mida","20090731_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | CJ: ""By 11:20 all small waders had gone - therefore not good representative count"""
"HumanObservation","20090926_mida","20090926_mida_afrspo1",3,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20100508_mida","20100508_mida_afrspo1",5,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20110428_mida","20110428_mida_afrspo1",5,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20120120_mida","20120120_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20140307_mida","20140307_mida_afrspo1",3,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20140507_mida","20140507_mida_afrspo1",7,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20140906_mida","20140906_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20150526_mida","20150526_mida_afrspo1",4,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20150723_mida","20150723_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | 08:22 (2,79 m)"
"HumanObservation","20150824_mida","20150824_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | 10:00 (2,55 m)"
"HumanObservation","20150917_mida","20150917_mida_afrspo1",5,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20170602_mida","20170602_mida_afrspo1",4,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20171028_mida","20171028_mida_afrspo1",2,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | Lanner disturbed whole roost and most small waders left"
"HumanObservation","20181017_mida","20181017_mida_afrspo1",4,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20190429_mida","20190429_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20200529_mida","20200529_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill","0 (exact) | "
"HumanObservation","20200813_mida","20200813_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20201125_mida","20201125_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20210407_mida","20210407_mida_afrspo1",22,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20210518_mida","20210518_mida_afrspo1",4,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20210901_mida","20210901_mida_afrspo1",4,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20220314_mida","20220314_mida_afrspo1",1,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20220408_mida","20220408_mida_afrspo1",2,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20220606_mida","20220606_mida_afrspo1",10,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","20220821_mida","20220821_mida_afrspo1",3,"afrspo1","Platalea alba","Animalia","Chordata","Aves","Species","African Spoonbill"," | "
"HumanObservation","19981029_mida","19981029_mida_batgod",2,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","19990310_mida","19990310_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20000425_mida","20000425_mida_batgod",2,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20010121_mida","20010121_mida_batgod",2,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20040204_mida","20040204_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20050928_mida","20050928_mida_batgod",16,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20080130_mida","20080130_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20090123_mida","20090123_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20090731_mida","20090731_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | CJ: ""By 11:20 all small waders had gone - therefore not good representative count"""
"HumanObservation","20090926_mida","20090926_mida_batgod",18,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20091128_mida","20091128_mida_batgod",2,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20100508_mida","20100508_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20110112_mida","20110112_mida_batgod",3,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20120120_mida","20120120_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20120513_mida","20120513_mida_batgod",1,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
"HumanObservation","20130105_mida","20130105_mida_batgod",4,"batgod","Limosa lapponica","Animalia","Chordata","Aves","Species","Bar-Tailed Godwit"," | "
