"","basisOfRecord","eventID","occurrenceID","individualCount","taxonID","scientificName","kingdom","phylum","class","takonRank","scientificNameAuthorship","vernacularName","occurrenceRemarks"
"1","HumanObservation","20000129_mida","20000129_mida_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"2","HumanObservation","20000130_sabaki","20000130_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"3","HumanObservation","20010121_mida","20010121_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"4","HumanObservation","20050129_sabaki","20050129_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | RN: Start time entered as ""afTernoon"""
"5","HumanObservation","20050129_sabaki","20050129_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"6","HumanObservation","20050604_sabaki","20050604_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"7","HumanObservation","20060127_mida","20060127_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"8","HumanObservation","20060129_sabaki","20060129_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"9","HumanObservation","20080130_mida","20080130_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"10","HumanObservation","20090123_mida","20090123_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"11","HumanObservation","20090125_sabaki","20090125_sabaki_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"12","HumanObservation","20091011_sabaki","20091011_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"13","HumanObservation","20100226_sabaki","20100226_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"14","HumanObservation","20110130_sabaki","20110130_sabaki_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"15","HumanObservation","20120120_sabaki","20120120_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"16","HumanObservation","20130508_sabaki","20130508_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"17","HumanObservation","20131101_sabaki","20131101_sabaki_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"18","HumanObservation","20131214_sabaki","20131214_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"19","HumanObservation","20140119_sabaki","20140119_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"20","HumanObservation","20140314_sabaki","20140314_sabaki_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"21","HumanObservation","20140411_sabaki","20140411_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"22","HumanObservation","20140507_mida","20140507_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"23","HumanObservation","20140527_sabaki","20140527_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"24","HumanObservation","20141115_mida","20141115_mida_affeag1",4355,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | RN: error? 08:45:00"
"25","HumanObservation","20150217_sabaki","20150217_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"26","HumanObservation","20150515_sabaki","20150515_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"27","HumanObservation","20150723_mida","20150723_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | 08:22 (2,79 m)"
"28","HumanObservation","20160120_mida","20160120_mida_affeag1",2,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | 0.5625"
"29","HumanObservation","20160123_sabaki","20160123_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"30","HumanObservation","20180130_sabaki","20180130_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","","","Real count | "
"31","HumanObservation","20190314_mida","20190314_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"32","HumanObservation","20190320_sabaki","20190320_sabaki_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","",""," | "
"33","HumanObservation","20200220_mida","20200220_mida_affeag1",1,"affeag1","Haliaeetus vocifer","Animalia","Chordata","Aves","","","","Real count | "
